,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
3164,Woods ›,1205.0,13704.0,17.0,193.0,26.0,6.0,5.0,8,19.0,0.1,0.12,28.0
3165,Woodward ›,3164.0,15655.0,35.0,173.0,23.0,4.0,9.0,6,-21.0,0.0,,18.0
3166,Wood ›,7572.0,10373.0,94.0,129.0,39.0,2.0,10.0,3,-56.0,0.0,,32.0
3167,Wood ›,7788.0,9325.0,169.0,202.0,0.0,13.0,23.0,18,-14.0,0.1,0.24,25.536858475894245
3168,Wood ›,13144.0,10048.0,189.0,144.0,43.0,4.0,12.0,8,-20.0,0.0,,27.0
3169,Wood ›,3436.0,7545.0,128.0,281.0,25.0,1.0,3.0,,-100.0,0.0,,12.0
3170,Worcester ›,76428.0,9201.0,2201.0,265.0,37.0,78.0,9.0,4,-36.0,0.9,0.1,37.0
3171,Worcester ›,3602.0,6890.0,99.0,189.0,45.0,20.0,8.0,31,-25.0,0.4,0.17,39.0
3172,Worth ›,747.0,10121.0,8.0,108.0,36.0,1.0,5.0,13,99.0,0.0,,35.0
3173,Worth ›,1794.0,8861.0,68.0,336.0,0.0,1.0,5.0,12,-18.0,0.0,,25.536858475894245
3174,Worth ›,162.0,8048.0,2.0,99.0,28.0,1.0,2.0,<1,-82.0,0.0,,23.0
3175,Wrangell City and Borough ›,54.0,2158.0,0.0,201.96666666666667,43.0,1.0,2.0,1,-77.0,0.0,,37.0
3176,Wright ›,1584.0,8661.0,32.0,175.0,19.0,1.0,3.0,2,-56.0,0.0,,23.0
3177,Wright ›,1845.0,14687.0,37.0,295.0,40.0,6.0,15.0,11,68.0,0.0,,33.0
3178,Wright ›,16009.0,11569.0,139.0,100.0,29.0,8.0,18.0,18,-1.0,0.1,0.3,37.0
3179,Wyandotte ›,20439.0,12355.0,292.0,177.0,28.0,1.0,5.0,,-100.0,0.0,,36.0
3180,Wyandot ›,2318.0,10647.0,55.0,253.0,32.0,10.0,14.0,9,-28.0,0.0,,38.0
3181,Wyoming ›,3497.0,8773.0,52.0,130.0,31.0,13.0,16.0,16,-24.0,0.1,0.17,37.0
3182,Wyoming ›,1885.0,7035.0,49.0,183.0,34.0,2.0,28.0,17,-30.0,0.0,,30.0
3183,Wyoming ›,1998.0,9797.0,39.0,191.0,0.0,6.0,28.0,13,-25.0,0.0,,25.536858475894245
3184,Wythe ›,2647.0,9228.0,78.0,272.0,0.0,31.0,7.0,7,-35.0,1.1,0.25,25.536858475894245
3185,Yabucoa,1369.0,4257.0,184.76028052279247,201.96666666666667,19.0,1.0,9.0,,0.0,0.0,,34.0
3186,Yadkin ›,4026.0,10688.0,49.0,130.0,29.0,8.0,13.0,15,-14.0,0.1,0.23,13.0
3187,Yakima ›,30796.0,12276.0,453.0,181.0,33.0,18.0,37.0,,-100.0,0.0,,32.0
3188,"Yakutat City and Borough, Hoonah-Angoon Census Area",74.0,2623.0,2.0,71.0,0.0,1.0,2.0,1,-77.0,0.0,,44.0
3189,Yalobusha ›,1643.0,13570.0,38.0,314.0,33.0,6.0,16.0,16,-8.0,0.3,0.84,23.0
3190,Yamhill ›,4463.0,4167.0,76.0,71.0,33.0,3.0,5.0,7,173.0,0.1,0.22,34.0
3191,Yancey ›,1622.0,8977.0,28.0,155.0,31.0,3.0,9.0,,0.0,0.1,0.44,20.0
3192,Yankton ›,3090.0,13544.0,33.0,145.0,45.0,1.0,5.0,,-100.0,0.0,,28.0
